Virus Strain Name,Accession ID,Data Source,Related ID,Nuc.Completeness,Sequence Length,Sequence Quality,Quality Assessment,Host,Sample Collection Date,Location,Originating Lab,Submission Date,Submitting Lab
BetaCoV/Wuhan/IPBCAMS-WH-05/2020,GWHABKJ00000000,Genome Warehouse,"EPI_ISL_403928, MT019533",Complete,29883,High,0/0/1/0/NO,Homo sapiens,2020-01-01,China / Hubei / Wuhan,"Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College",2020-01-21,"Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College; China National Center for Bioinformation"
BetaCoV/Taiwan/2/2020,EPI_ISL_406031,GISAID,,Complete,29880,High,0/0/4/0/NO,Homo sapiens,2020-01-23,China / Taiwan / Kaohsiung,Centers for Disease Control (Taiwan),2020-01-27,Centers for Disease Control (Taiwan)
2019-nCoV/USA-CA1/2020,MN994467,GenBank,EPI_ISL_406034,Complete,29882,High,0/0/7/0/NO,Homo sapiens,2020-01-23,United States / California / Los Angeles,California Department of Public Health,2020-01-27,"Division of Viral Diseases, Centers for Disease Control and Prevention"
2019-nCoV/USA-CA2/2020,MN994468,GenBank,EPI_ISL_406036,Complete,29883,High,0/0/2/0/NO,Homo sapiens,2020-01-22,United States / California / Orange County,California Department of Public Health ,2020-01-27,"Division of Viral Diseases, Centers for Disease Control and Prevention"
2019-nCoV/USA-AZ1/2020,MN997409,GenBank,EPI_ISL_406223,Complete,29882,High,0/0/4/0/NO,Homo sapiens,2020-01-22,United States / Arizona / Phoenix,Arizona Department of Health Services,2020-01-28,"Division of Viral Diseases, Centers for Disease Control and Prevention"
2019-nCoV WHU01,MN988668,GenBank,EPI_ISL_406716,Complete,29881,High,0/0/0/0/NO,Homo sapiens,2020-01-02,China / Hubei / Wuhan,"State Key Laboratory of Virology, Wuhan University",2020-01-23,"State Key Laboratory of Virology, Wuhan University"
2019-nCoV WHU02,MN988669,GenBank,EPI_ISL_406717,Complete,29881,High,0/0/0/0/NO,Homo sapiens,2020-01-02,China / Hubei / Wuhan,"State Key Laboratory of Virology, Wuhan University",2020-01-23,"State Key Laboratory of Virology, Wuhan University"
BetaCoV/Guangdong/20SF174/2020,EPI_ISL_406531,GISAID,,Complete,29808,High,0/0/1/0/NO,Homo sapiens,2020-01-22,China / Guangdong Province,Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Institute of Public Health,2020-01-29,Guangdong Provincial Center for Diseases Control and Prevention
BetaCoV/Guangzhou/20SF206/2020,EPI_ISL_406533,GISAID,,Complete,29839,High,0/0/2/0/NO,Homo sapiens,2020-01-22,China / Guangdong Province / Guangzhou City,Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Institute of Public Health,2020-01-29,Guangdong Provincial Center for Diseases Control and Prevention
BetaCoV/Foshan/20SF207/2020,EPI_ISL_406534,GISAID,,Complete,29839,High,0/0/2/0/NO,Homo sapiens,2020-01-22,China / Guangdong Province,Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Institute of Public Health,2020-01-29,Guangdong Provincial Center for Diseases Control and Prevention
BetaCoV/Foshan/20SF210/2020,EPI_ISL_406535,GISAID,,Complete,29839,High,0/0/1/0/NO,Homo sapiens,2020-01-22,China / Guangdong Province,Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Institute of Public Health,2020-01-29,Guangdong Provincial Center for Diseases Control and Prevention
BetaCoV/Foshan/20SF211/2020,EPI_ISL_406536,GISAID,,Complete,29803,High,0/0/1/0/NO,Homo sapiens,2020-01-22,China / Guangdong Province,Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Institute of Public Health,2020-01-29,Guangdong Provincial Center for Diseases Control and Prevention
BetaCoV/Guangdong/20SF201/2020,EPI_ISL_406538,GISAID,,Complete,29839,High,0/0/0/0/NO,Homo sapiens,2020-01-23,China / Guangdong Province,Guangdong Provincial Center for Diseases Control and Prevention;Guangdong Provincial Institute of Public Health,2020-01-29,Guangdong Provincial Center for Diseases Control and Prevention
BetaCoV/Shenzhen/SZTH-001/2020,EPI_ISL_406592,GISAID,,Complete,29891,High,"0/0/27/0/26755~26759(5-2-0.40,SNP:26755; SNP:26759)",Homo sapiens,2020-01-13,China/ Guangdong Province / Shenzhen City,Shenzhen Third People's Hospital,2020-01-29,"Shenzhen Key Laboratory of Pathogen and Immunity, National Clinical Research Center for Infectious Disease, Shenzhen Third People's Hospital"
BetaCoV/Shenzhen/SZTH-003/2020,EPI_ISL_406594,GISAID,,Complete,29898,High,0/0/2/0/NO,Homo sapiens,2020-01-16,China/ Guangdong Province / Shenzhen City,"Shenzhen Key Laboratory of Pathogen and Immunity, National Clinical Research Center for Infectious Disease, Shenzhen Third People's Hospital",2020-01-29,"Shenzhen Key Laboratory of Pathogen and Immunity, National Clinical Research Center for Infectious Disease, Shenzhen Third People's Hospital"
BetaCoV/Shenzhen/SZTH-004/2020,EPI_ISL_406595,GISAID,,Complete,29899,High,0/0/9/0/NO,Homo sapiens,2020-01-16,China/ Guangdong Province / Shenzhen City,"Shenzhen Key Laboratory of Pathogen and Immunity, National Clinical Research Center for Infectious Disease, Shenzhen Third People's Hospital",2020-01-29,"Shenzhen Key Laboratory of Pathogen and Immunity, National Clinical Research Center for Infectious Disease, Shenzhen Third People's Hospital"
BetaCoV/Shenzhen/SZTH-002/2020,EPI_ISL_406593,GISAID,,Complete,29891,High,0/0/3/0/NO,Homo sapiens,2020-01-13,China/ Guangdong Province / Shenzhen City,"Shenzhen Key Laboratory of Pathogen and Immunity, National Clinical Research Center for Infectious Disease, Shenzhen Third People's Hospital",2020-01-29,"Shenzhen Key Laboratory of Pathogen and Immunity, National Clinical Research Center for Infectious Disease, Shenzhen Third People's Hospital"
BetaCoV/France/IDF0373/2020,EPI_ISL_406597,GISAID,,Complete,29809,High,0/0/2/0/NO,Homo sapiens,2020-01-23,France / Ile-de-France / Paris,"Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris",2020-01-29,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris"
BetaCoV/France/IDF0372/2020,EPI_ISL_406596,GISAID,,Complete,29853,High,0/0/2/0/NO,Homo sapiens,2020-01-23,France / Ile-de-France / Paris,"Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris",2020-01-29,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris"
WIV02,GWHABKK00000000,Genome Warehouse,"EPI_ISL_402127, MN996527",Complete,29825,High,0/0/2/0/NO,Homo sapiens,2019-12-30,China / Hubei / Wuhan,Wuhan Jinyintan Hospital,2020-01-18,"CAS Key Laboratory of Special Pathogens and Biosafety and Center for Emerging Infectious Diseases, Wuhan Institute of Virology, Chinese Academy of Sciences"
WIV04,GWHABKL00000000,Genome Warehouse,"EPI_ISL_402124, MN996528",Complete,29891,High,0/0/0/0/NO,Homo sapiens,2019-12-30,China / Hubei / Wuhan,Wuhan Jinyintan Hospital,2020-01-11,"CAS Key Laboratory of Special Pathogens and Biosafety and Center for Emerging Infectious Diseases, Wuhan Institute of Virology, Chinese Academy of Sciences"
WIV05,GWHABKM00000000,Genome Warehouse,"EPI_ISL_402128, MN996529",Complete,29852,High,0/0/2/0/NO,Homo sapiens,2019-12-30,China / Hubei / Wuhan,Wuhan Jinyintan Hospital,2020-01-18,"CAS Key Laboratory of Special Pathogens and Biosafety and Center for Emerging Infectious Diseases, Wuhan Institute of Virology, Chinese Academy of Sciences"
WIV06,GWHABKN00000000,Genome Warehouse,"EPI_ISL_402129, MN996530",Complete,29854,High,0/0/0/0/NO,Homo sapiens,2019-12-30,China / Hubei / Wuhan,Wuhan Jinyintan Hospital,2020-01-18,"CAS Key Laboratory of Special Pathogens and Biosafety and Center for Emerging Infectious Diseases, Wuhan Institute of Virology, Chinese Academy of Sciences"
WIV07,GWHABKO00000000,Genome Warehouse,"EPI_ISL_402130, MN996531",Complete,29857,High,0/0/2/0/NO,Homo sapiens,2019-12-30,China / Hubei / Wuhan,Wuhan Jinyintan Hospital,2020-01-18,"CAS Key Laboratory of Special Pathogens and Biosafety and Center for Emerging Infectious Diseases, Wuhan Institute of Virology, Chinese Academy of Sciences"
TG13,GWHABKP00000000,Genome Warehouse,"EPI_ISL_402131, MN996532",Complete,29855,High,0/0/NA/NA/NA,Rhinolophus affinis,2013-07-24,China / Yunnan / Pu'er,Wuhan Institute of Virology,2020-01-24,"CAS Key Laboratory of Special Pathogens and Biosafety and Center for Emerging Infectious Diseases, Wuhan Institute of Virology, Chinese Academy of Sciences"
BetaCoV/Wuhan/WH-01/2019,CNA0007332,CNGBdb,"LR757998, EPI_ISL_406798, NMDC60013002-01",Complete,29834,High,0/0/2/0/NO,Homo sapiens,2019-12-26,China / Hubei / Wuhan,General Hospital of Central Theater Command of People's Liberation Army of China,2020-01-30,"BGI PathoGenesis Pharmaceutical Technology Co., Ltd; China CDC; Shandong First Medical University & Shandong Academy of Medical Sciences; Hubei Provincial Center for Disease Control and Prevention"
BetaCoV/Wuhan/WH-03/2019,CNA0007334,CNGBdb,"LR757996, EPI_ISL_406800, NMDC60013002-03",Complete,29851,High,0/0/0/0/NO,Homo sapiens,2020-01-01,China / Hubei / Wuhan,General Hospital of Central Theater Command of People's Liberation Army of China,2020-01-30,"BGI PathoGenesis Pharmaceutical Technology Co., Ltd; China CDC; Shandong First Medical University & Shandong Academy of Medical Sciences; Hubei Provincial Center for Disease Control and Prevention"
BetaCoV/Wuhan/WH-04/2019,CNA0007335,CNGBdb,"LR757995, EPI_ISL_406801, NMDC60013002-04",Complete,29843,High,"0/0/5/0/29854~29856(3-2-0.67,SNP:29854; SNP:29856)",Homo sapiens,2020-01-05,China / Hubei / Wuhan,General Hospital of Central Theater Command of People's Liberation Army of China,2020-01-30,"BGI PathoGenesis Pharmaceutical Technology Co., Ltd; China CDC; Shandong First Medical University & Shandong Academy of Medical Sciences; Hubei Provincial Center for Disease Control and Prevention"
BetaCoV/Australia/VIC01/2020,MT007544,GenBank,EPI_ISL_406844,Complete,29893,High,0/0/4/1/NO,Homo sapiens,2020-01-25,Australia / Victoria / Clayton,Monash Medical Centre,2020-01-31,"Department of Microbiology and Immunology, The University of Melbourne at The Peter Doherty Institute for Infection and Immunity"
BetaCoV/Germany/BavPat1/2020,EPI_ISL_406862,GISAID,,Complete,29782,High,0/0/3/0/NO,Homo sapiens,2020-01-28,Germany / Bavaria / Munich,"Charité Universitätsmedizin Berlin, Institute of Virology; Institut für Mikrobiologie der Bundeswehr, Munich",2020-01-31,"Charité Universitätsmedizin Berlin, Institute of Virology"
BetaCoV/Wuhan/WH19008/2019 ,NMDC60013002-06,NMDC,,Complete,29891,High,0/0/1/0/NO,Homo sapiens,2019-12-30,China / Hubei / Wuhan,,2020-01-28,"China CDC; Shandong First Medical University & Shandong Academy of Medical Sciences; Hubei Provincial Center for Disease Control and Prevention; BGI PathoGenesis Pharmaceutical Technology Co., Ltd"
BetaCoV/Wuhan/YS8011/2020 ,NMDC60013002-07,NMDC,,Complete,29890,High,0/0/1/1/NO,Homo sapiens,2020-01-07,China / Hubei / Wuhan,,2020-01-28,"China CDC; Shandong First Medical University & Shandong Academy of Medical Sciences; Hubei Provincial Center for Disease Control and Prevention; BGI PathoGenesis Pharmaceutical Technology Co., Ltd"
BetaCoV/Wuhan/WH19001/2019,NMDC60013002-08,NMDC,,Complete,29891,High,0/0/0/0/NO,Homo sapiens,2019-12-30,China / Hubei / Wuhan,,2020-01-28,"China CDC; Shandong First Medical University & Shandong Academy of Medical Sciences; Hubei Provincial Center for Disease Control and Prevention; BGI PathoGenesis Pharmaceutical Technology Co., Ltd"
BetaCoV/Wuhan/WH19004/2020,NMDC60013002-09,NMDC,,Complete,29896,High,0/0/2/0/NO,Homo sapiens,2020-01-01,China / Hubei / Wuhan,,2020-01-28,"China CDC; Shandong First Medical University & Shandong Academy of Medical Sciences; Hubei Provincial Center for Disease Control and Prevention; BGI PathoGenesis Pharmaceutical Technology Co., Ltd"
BetaCoV/Wuhan/WH19005/2019,NMDC60013002-10,NMDC,,Complete,29891,High,0/0/2/0/NO,Homo sapiens,2019-12-30,China / Hubei / Wuhan,,2020-01-28,"China CDC; Shandong First Medical University & Shandong Academy of Medical Sciences; Hubei Provincial Center for Disease Control and Prevention; BGI PathoGenesis Pharmaceutical Technology Co., Ltd"
BetaCoV/Singapore/1/2020,EPI_ISL_406973,GISAID,,Complete,29845,High,0/0/1/0/NO,Homo sapiens,2020-01-23,Singapore,Singapore General Hospital,2020-02-03,National Public Health Laboratory
BetaCoV/England/02/2020,EPI_ISL_407073,GISAID,,Complete,29843,High,0/0/5/0/NO,Homo sapiens,2020-01-29,United Kingdom,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",2020-02-03,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"
BetaCoV/England/01/2020,EPI_ISL_407071,GISAID,,Complete,29843,High,0/1/5/0/NO,Homo sapiens,2020-01-29,United Kingdom,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",2020-02-03,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"
20cov-1L,GWHABKS00000000,Genome Warehouse,"EPI_ISL_406970, MT039873",Complete,29833,High,0/0/0/0/NO,Homo sapiens,2020-01-20,China / Zhejiang / Hangzhou,Hangzhou Center for Disease and Control Microbiology Lab,2020-02-03,"Microbiology Detection, Hangzhou center for disease control and prevention"
BetaCoV/USA/WA1-A12/2020,MT020880,GenBank,EPI_ISL_407214,Complete,29882,High,0/0/3/0/NO,Homo sapiens,2020-01-25,United States / Washington,WA State Department of Health,2020-02-04,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention"
BetaCoV/USA/WA1-F6/2020,MT020881,GenBank,EPI_ISL_407215,Complete,29882,High,0/0/3/0/NO,Homo sapiens,2020-01-25,United States / Washington,WA State Department of Health,2020-02-04,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention"
BetaCoV/Korea/KCDC03/2020,EPI_ISL_407193,GISAID,,Complete,29818,High,0/0/4/0/NO,Homo sapiens,2020-01-25,South Korea / Gyeonggi-do,Korea Centers for Disease Control & Prevention (KCDC) Center for Laboratory Control of Infectious Diseases Division of Viral Diseases,2020-02-04,Korea Centers for Disease Control & Prevention (KCDC) Center for Laboratory Control of Infectious Diseases Division of Viral Diseases
BetaCoV/Japan/AI/I-004/2020,LC521925,GenBank,EPI_ISL_407084,Complete,29848,High,0/0/3/1/NO,Homo sapiens,2020-01-25,Japan / Aichi,"Department of Virology III, National Institute of Infectious Diseases",2020-02-04,"Pathogen Genomics Center, National Institute of Infectious Diseases"
BetaCoV/Hangzhou/HZCDC0001/2020,EPI_ISL_407313,GISAID,,Complete,29836,High,0/0/0/0/NO,Homo sapiens,2020-01-19,China / Zhejiang / Hangzhou,Hangzhou Center for Disease Control and Prevention,2020-02-05,Hangzhou Center for Disease Control and Prevention
BetaCoV/Australia/QLD01/2020,EPI_ISL_407894,GISAID,,Complete,29842,High,"0/7/11/0/13681~13693(13-6-0.46,SNP:13681; SNP:13682; SNP:13684; SNP:13686; SNP:13687; SNP:13693)",Homo sapiens,2020-01-28,Australia / Queensland / Gold Coast,Pathology Queensland,2020-02-06,Public Health Virology Laboratory
BetaCoV/Australia/QLD02/2020,EPI_ISL_407896,GISAID,,Complete,29864,High,0/1/7/0/NO,Homo sapiens,2020-01-30,Australia / Queensland / Gold Coast,Pathology Queensland,2020-02-06,Public Health Virology Laboratory
BetaCoV/Australia/NSW01/2020,EPI_ISL_407893,GISAID,,Complete,29782,High,0/0/2/0/NO,Homo sapiens,2020-01-24,Australia / New South Wales / Sydney,Centre for Infectious Diseases and Microbiology Laboratory Services,2020-02-06,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney
BetaCoV/Belgium/GHB-03021/2020,EPI_ISL_407976,GISAID,,Complete,29882,High,0/0/3/0/NO,Homo sapiens,2020-02-03,Belgium / Leuven,"KU Leuven, Clinical and Epidemiological Virology",2020-02-07,"KU Leuven, Clinical and Epidemiological Virology"
BetaCoV/Singapore/3/2020,EPI_ISL_407988,GISAID,,Complete,29843,High,0/0/1/0/NO,Homo sapiens,2020-02-01,Singapore,National Centre for Infectious Diseases,2020-02-07,"Programme in Emerging Infectious Diseases, Duke-NUS Medical School"
BetaCoV/Singapore/2/2020,EPI_ISL_407987,GISAID,,Complete,29844,High,0/0/1/0/NO,Homo sapiens,2020-01-25,Singapore,"Molecular Laboratory, Division of Pathology",2020-02-07,"Programme in Emerging Infectious Diseases, Duke-NUS Medical School"
2019-nCoV/USA-CA3/2020,MT027062,GenBank,EPI_ISL_408008,Complete,29882,High,0/0/3/0/NO,Homo sapiens,2020-01-29,United States / California,California Department of Health,2020-02-06,"Division of Viral Diseases, Centers for Disease Control and Prevention"
2019-nCoV/USA-CA4/2020,MT027063,GenBank,EPI_ISL_408009,Complete,29882,High,0/0/3/0/NO,Homo sapiens,2020-01-29,United States / California,California Department of Health,2020-02-06,"Division of Viral Diseases, Centers for Disease Control and Prevention"
2019-nCoV/USA-CA5/2020,MT027064,GenBank,EPI_ISL_408010,Complete,29882,High,0/0/2/0/NO,Homo sapiens,2020-01-29,United States / California,California Department of Health,2020-02-06,"Division of Viral Diseases, Centers for Disease Control and Prevention"
Chongqing/YC01/2020,EPI_ISL_408478,GISAID,,Complete,29893,High,0/0/5/0/NO,Homo sapiens,2020-01-22,China / Chongqing / Yongchuan,"Yongchuan District Center for Disease Control and Prevention, Chongqing, China",2020-02-09,"Chongqing Municipal Center for Disease Control and Prevention, Chongqing, China"
Sichuan/IVDC-SC-001/2020,EPI_ISL_408484,GISAID,,Complete,29891,High,0/0/6/0/NO,Homo sapiens,2020-01-16,China / Sichuan / Chengdu,"National Institute for Viral Disease Control and Prevention, China CDC, Beijing, China",2020-02-09,"National Institute for Viral Disease Control and Prevention, China CDC, Beijing, China"
Yunnan/IVDC-YN-003/2020,EPI_ISL_408480,GISAID,,Complete,29891,High,0/0/3/0/NO,Homo sapiens,2020-01-18,China / Yunnan / Kunming,"National Institute for Viral Disease Control and Prevention, China CDC, Beijing, China",2020-02-09,"National Institute for Viral Disease Control and Prevention, China CDC, Beijing, China"
Taiwan/NTU01/2020,MT066175,GenBank,EPI_ISL_408489,Complete,29870,High,0/0/2/0/NO,Homo sapiens,2020-02-01,China / Taiwan / Taipei,"National Institute for Viral Disease Control & Prevention, CCDC",2020-02-09,"National Institute for Viral Disease Control & Prevention, CCDC"
Wuhan/IVDC-HB-envF13-21/2020,EPI_ISL_408515,GISAID,,Complete,29891,High,0/0/3/0/NO,Environment,2020-01-02,China / Hubei / Wuhan,"Institute of Viral Disease Control and Prevention, China CDC, Beijing, China",2020-02-09,"Institute of Viral Disease Control and Prevention, China CDC, Beijing, China"
France/IDF0626/2020,EPI_ISL_408431,GISAID,,Complete,29851,High,0/0/1/0/NO,Homo sapiens,2020-01-30,France / Ile De France / Paris,"Sorbonne Universite, Inserm et Assistance Publique-Hopitaux de Paris, Paris, France",2020-02-08,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris, France"
Jiangxi/IVDC-JX-002/2020,EPI_ISL_408486,GISAID,,Complete,29891,High,0/0/1/0/NO,Homo sapiens,2020-01-12,China / Jiangxi / Pingxiang,"National Institute for Viral Disease Control and Prevention, China CDC, Beijing, China",2020-02-09,"National Institute for Viral Disease Control and Prevention, China CDC, Beijing, China"
